CustomerID,Recency,Frequency,Monetary,cluster,SegmentRecency,SegmentMonetary,SegmentFrequency
12346,326,1,77183.6,Gold,Inactive,High,Low
12347,2,7,4310.0,Silver,Active,High,High
12348,75,4,1797.24,Silver,Warm,High,Medium
12349,19,1,1757.55,Silver,Active,High,Low
12350,310,1,334.4,Bronze,Inactive,Low,Low
12352,36,8,2506.04,Silver,Warm,High,High
12353,204,1,89.0,Bronze,Inactive,Low,Low
12354,232,1,1079.4,Bronze,Inactive,Medium,Low
12355,214,1,459.4,Bronze,Inactive,Medium,Low
12356,23,3,2811.43,Silver,Active,High,Medium
12357,33,1,6207.67,Silver,Warm,High,Low
12358,2,2,1168.06,Silver,Active,Medium,Low
12359,58,4,6310.03,Silver,Warm,High,Medium
12360,52,3,2662.06,Silver,Warm,High,Medium
12361,287,1,189.9,Bronze,Inactive,Low,Low
12362,3,10,5226.23,Silver,Active,High,High
12363,110,2,552.0,Silver,Cool,Medium,Low
12364,8,4,1313.1,Silver,Active,High,Medium
12365,291,2,641.38,Bronze,Inactive,Medium,Low
12367,4,1,168.9,Silver,Active,Low,Low
12370,51,4,3541.94,Silver,Warm,High,Medium
12371,45,2,1887.96,Silver,Warm,High,Low
12372,72,3,1298.04,Silver,Warm,High,Medium
12373,311,1,364.6,Bronze,Inactive,Low,Low
12374,25,1,742.9300000000001,Silver,Active,Medium,Low
12375,11,2,457.5,Silver,Active,Medium,Low
12377,315,2,1628.12,Bronze,Inactive,High,Low
12378,130,1,4008.62,Silver,Cool,High,Low
12379,82,2,852.24,Silver,Warm,Medium,Low
12380,22,4,2724.81,Silver,Active,High,Medium
12381,5,5,1845.31,Silver,Active,High,Medium
12383,185,5,1850.56,Bronze,Inactive,High,Medium
12384,29,2,585.27,Silver,Active,Medium,Low
12386,338,2,401.9,Bronze,Inactive,Medium,Low
12388,16,6,2780.66,Silver,Active,High,High
12390,80,1,549.84,Silver,Warm,Medium,Low
12391,22,1,439.66,Silver,Active,Medium,Low
12393,72,4,1582.6000000000001,Silver,Warm,High,Medium
